population	n_pop	k_folded	count
afr	33480	319	0
afr	33480	320	0
afr	33480	321	0
afr	33480	322	0
afr	33480	323	0
afr	33480	324	0
afr	33480	325	0
afr	33480	326	0
afr	33480	327	0
afr	33480	328	0
afr	33480	329	0
afr	33480	330	0
afr	33480	331	0
afr	33480	332	0
afr	33480	333	0
afr	33480	334	0
afr	33480	335	0
afr	33480	336	0
afr	33480	337	0
afr	33480	338	0
afr	33480	339	0
afr	33480	340	0
afr	33480	341	0
afr	33480	342	0
afr	33480	343	0
afr	33480	344	0
afr	33480	345	0
afr	33480	346	0
afr	33480	347	0
afr	33480	348	0
afr	33480	349	0
afr	33480	350	0
afr	33480	351	0
afr	33480	352	0
afr	33480	353	0
afr	33480	354	0
afr	33480	355	0
afr	33480	356	0
afr	33480	357	0
afr	33480	358	0
afr	33480	359	0
afr	33480	360	0
afr	33480	361	0
afr	33480	362	0
afr	33480	363	0
afr	33480	364	0
afr	33480	365	0
afr	33480	366	0
afr	33480	367	0
afr	33480	368	0
afr	33480	369	0
afr	33480	370	0
afr	33480	371	0
afr	33480	372	0
afr	33480	373	0
afr	33480	374	0
afr	33480	375	0
afr	33480	376	0
afr	33480	377	0
afr	33480	378	0
afr	33480	379	0
afr	33480	380	0
afr	33480	381	0
afr	33480	382	0
afr	33480	383	0
afr	33480	384	0
afr	33480	385	0
afr	33480	386	0
afr	33480	387	0
afr	33480	388	0
afr	33480	389	0
afr	33480	390	0
afr	33480	391	0
afr	33480	392	0
afr	33480	393	0
afr	33480	394	0
afr	33480	395	0
afr	33480	396	0
afr	33480	397	0
afr	33480	398	0
afr	33480	399	0
afr	33480	400	0
afr	33480	401	0
afr	33480	402	0
afr	33480	403	0
afr	33480	404	0
afr	33480	405	0
afr	33480	406	0
afr	33480	407	0
afr	33480	408	0
afr	33480	409	0
afr	33480	410	0
afr	33480	411	0
afr	33480	412	0
afr	33480	413	0
afr	33480	414	0
afr	33480	415	0
afr	33480	416	0
afr	33480	417	0
afr	33480	418	0
afr	33480	419	0
afr	33480	420	0
afr	33480	421	0
afr	33480	422	0
afr	33480	423	0
afr	33480	424	0
afr	33480	425	0
afr	33480	426	0
afr	33480	427	0
afr	33480	428	0
afr	33480	429	0
afr	33480	430	0
afr	33480	431	0
afr	33480	432	0
afr	33480	433	0
afr	33480	434	0
afr	33480	435	0
afr	33480	436	0
afr	33480	437	0
afr	33480	438	0
afr	33480	439	0
afr	33480	440	0
afr	33480	441	0
afr	33480	442	0
afr	33480	443	0
afr	33480	444	0
afr	33480	445	0
afr	33480	446	0
afr	33480	447	0
afr	33480	448	0
afr	33480	449	0
afr	33480	450	0
afr	33480	451	0
afr	33480	452	0
afr	33480	453	0
afr	33480	454	0
afr	33480	455	0
afr	33480	456	0
afr	33480	457	0
afr	33480	458	0
afr	33480	459	0
afr	33480	460	0
afr	33480	461	0
afr	33480	462	0
afr	33480	463	0
afr	33480	464	0
afr	33480	465	0
afr	33480	466	0
afr	33480	467	0
afr	33480	468	0
afr	33480	469	0
afr	33480	470	0
afr	33480	471	0
afr	33480	472	0
afr	33480	473	0
afr	33480	474	0
afr	33480	475	0
afr	33480	476	0
afr	33480	477	0
afr	33480	478	0
afr	33480	479	0
afr	33480	480	0
afr	33480	481	0
afr	33480	482	0
afr	33480	483	0
afr	33480	484	0
afr	33480	485	0
afr	33480	486	0
afr	33480	487	0
afr	33480	488	0
afr	33480	489	0
afr	33480	490	0
afr	33480	491	0
afr	33480	492	0
afr	33480	493	0
afr	33480	494	0
afr	33480	495	0
afr	33480	496	0
afr	33480	497	0
afr	33480	498	0
afr	33480	499	0
afr	33480	500	0
afr	33480	501	0
afr	33480	502	0
afr	33480	503	0
afr	33480	504	0
afr	33480	505	0
afr	33480	506	0
afr	33480	507	0
afr	33480	508	0
afr	33480	509	0
afr	33480	510	0
afr	33480	511	0
afr	33480	512	0
afr	33480	513	0
afr	33480	514	0
afr	33480	515	0
afr	33480	516	0
afr	33480	517	0
afr	33480	518	0
afr	33480	519	0
afr	33480	520	0
afr	33480	521	0
afr	33480	522	0
afr	33480	523	0
afr	33480	524	0
afr	33480	525	0
afr	33480	526	0
afr	33480	527	0
afr	33480	528	0
afr	33480	529	0
afr	33480	530	0
afr	33480	531	0
afr	33480	532	0
afr	33480	533	0
afr	33480	534	0
afr	33480	535	0
afr	33480	536	0
afr	33480	537	0
afr	33480	538	0
afr	33480	539	0
afr	33480	540	0
afr	33480	541	0
afr	33480	542	0
afr	33480	543	0
afr	33480	544	0
afr	33480	545	0
afr	33480	546	0
afr	33480	547	0
afr	33480	548	0
afr	33480	549	0
afr	33480	550	0
afr	33480	551	0
afr	33480	552	0
afr	33480	553	0
afr	33480	554	0
afr	33480	555	0
afr	33480	556	0
afr	33480	557	0
afr	33480	558	0
afr	33480	559	0
afr	33480	560	0
afr	33480	561	0
afr	33480	562	0
afr	33480	563	0
afr	33480	564	0
afr	33480	565	0
afr	33480	566	0
afr	33480	567	0
